"CAEMP25N Total Full-Time and Part-Time Employment by NAICS Industry 1/"
"Total employment (Number of jobs)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"23540","Gainesville, FL (Metropolitan Statistical Area)",165423,167142,168457,173010,176134,179880,182003,179848,172835,170971,171780,172951,174944,179714,184354,187752,193862,198868,202377
"23580","Gainesville, GA (Metropolitan Statistical Area)",81018,81381,83278,85877,89023,92744,97240,97443,91963,92717,95786,96011,99650,102052,107240,111304,115957,119266,121156
"23900","Gettysburg, PA (Metropolitan Statistical Area)",42614,43293,43866,44833,46439,47899,48286,47539,45689,45039,44677,45139,47117,47507,47602,48526,48887,49106,49506
"24020","Glens Falls, NY (Metropolitan Statistical Area)",65139,65403,66490,68542,69447,70191,71096,72890,71224,70234,70770,70839,70568,71307,71747,71299,71608,71725,71784
"24140","Goldsboro, NC (Metropolitan Statistical Area)",59739,59786,58552,58827,58868,59751,61543,60722,59757,58747,60034,59949,59387,59124,58965,58876,59143,59708,60002
"24220","Grand Forks, ND-MN (Metropolitan Statistical Area)",65352,65622,66495,67733,69046,69872,70645,69995,69557,69234,69292,71410,71782,72223,72811,72577,72387,72189,72249
"24260","Grand Island, NE (Metropolitan Statistical Area)",45317,44652,44908,45228,46165,47288,48150,48903,48927,48642,49680,50685,51313,51589,51138,51371,51506,51673,51822
"24300","Grand Junction, CO (Metropolitan Statistical Area)",71083,72725,73953,76252,79069,82251,87490,90899,86309,83210,83893,84751,84914,86731,86504,86792,88740,90710,92118
"24340","Grand Rapids-Kentwood, MI (Metropolitan Statistical Area)",611718,603724,602504,613650,622729,621166,622413,612240,578845,580527,605097,623491,642098,661192,681556,703062,715793,732702,741654
"24420","Grants Pass, OR (Metropolitan Statistical Area)",33417,33916,35230,36699,37991,38788,38856,37739,35858,34891,35008,34959,35030,36111,37117,37764,38765,39779,40997
