CBSA Code,CBSA Title,Principal City Name,FIPS State Code,FIPS Place Code
31080,"Los Angeles-Long Beach-Anaheim, CA",Pasadena,6,56000
31080,"Los Angeles-Long Beach-Anaheim, CA",Santa Ana,6,69000
31080,"Los Angeles-Long Beach-Anaheim, CA",Santa Monica,6,70000
31080,"Los Angeles-Long Beach-Anaheim, CA",Torrance,6,80000
31080,"Los Angeles-Long Beach-Anaheim, CA",Tustin,6,80854
31140,"Louisville/Jefferson County, KY-IN",Louisville/Jefferson County metro government (balance),21,48006
31180,"Lubbock, TX",Lubbock,48,45000
31340,"Lynchburg, VA",Lynchburg,51,47672
31420,"Macon-Bibb County, GA",Macon-Bibb County,13,49008
31460,"Madera, CA",Madera,6,45022
31540,"Madison, WI",Madison,55,48000
31700,"Manchester-Nashua, NH",Manchester,33,45140
31700,"Manchester-Nashua, NH",Nashua,33,50260
31740,"Manhattan, KS",Manhattan,20,44250
31860,"Mankato, MN",Mankato,27,39878
31900,"Mansfield, OH",Mansfield,39,47138
32420,"Mayagüez, PR",Mayagüez,72,52431
32580,"McAllen-Edinburg-Mission, TX",Edinburg,48,22660
32580,"McAllen-Edinburg-Mission, TX",McAllen,48,45384
32580,"McAllen-Edinburg-Mission, TX",Mission,48,48768
32780,"Medford, OR",Medford,41,47000
32820,"Memphis, TN-MS-AR",Memphis,47,48000
32900,"Merced, CA",Merced,6,46898
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Boca Raton,12,7300
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Boynton Beach,12,7875
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Coral Gables,12,14250
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Deerfield Beach,12,16725
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Delray Beach,12,17100
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Doral,12,17935
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Fort Lauderdale,12,24000
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Jupiter,12,35875
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Kendall,12,36100
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami,12,45000
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami Beach,12,45025
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach Gardens,12,54075
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Pompano Beach,12,58050
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Sunrise,12,69700
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",West Palm Beach,12,76600
33140,"Michigan City-La Porte, IN",La Porte,18,42246
