NAME,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Madison, WI",0.2,1.1,1.1,1.1,1.0,1.1,1.3,1.0,0.7,0.7
"Manchester-Nashua, NH",0.1,0.4,0.4,0.2,0.5,0.4,0.6,0.5,0.3,0.6
"Manhattan, KS",1.1,1.7,5.1,-1.1,-0.5,1.0,-2.2,-1.8,0.0,-1.1
"Mankato, MN",0.1,0.5,0.7,-0.3,1.0,0.5,0.9,0.9,0.6,0.3
"Mansfield, OH",-0.3,-0.8,-0.4,-0.3,-0.3,-0.3,-0.4,-0.7,0.5,0.1
"McAllen-Edinburg-Mission, TX",0.6,2.1,1.6,1.3,1.3,1.2,1.1,0.9,0.7,0.7
"Medford, OR",0.1,0.7,0.5,0.6,1.0,1.0,1.4,1.1,1.2,0.7
"Memphis, TN-MS-AR",0.1,0.5,0.6,0.1,0.1,0.1,0.1,0.2,0.3,0.3
"Merced, CA",0.4,1.0,0.6,0.4,0.9,0.7,0.5,1.3,1.1,1.3
"Miami-Fort Lauderdale-Pompano Beach, FL",0.3,1.5,1.3,1.3,1.2,1.3,1.4,1.0,0.4,0.4
"Michigan City-La Porte, IN",-0.0,-0.1,-0.0,0.1,0.3,-0.8,-0.6,-0.3,0.1,-0.1
"Midland, MI",0.0,0.2,-0.1,-0.1,-0.2,0.2,-0.3,-0.1,-0.1,-0.1
"Midland, TX",0.1,2.3,4.7,3.4,2.8,3.4,0.9,0.8,4.1,2.4
"Milwaukee-Waukesha, WI",0.0,0.3,0.4,0.3,0.2,0.1,-0.0,-0.1,-0.0,0.1
"Minneapolis-St. Paul-Bloomington, MN-WI",0.2,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.8
"Missoula, MT",0.2,0.7,0.7,0.8,0.8,1.2,1.9,1.3,0.7,0.8
"Mobile, AL",0.1,-0.1,0.1,-0.0,0.0,0.1,0.1,-0.2,-0.1,-0.2
"Modesto, CA",0.1,0.5,0.6,0.6,0.9,1.0,1.1,1.0,0.6,0.5
"Monroe, LA",0.1,0.1,0.1,0.1,0.1,0.0,-0.2,-0.7,-0.9,-0.9
"Monroe, MI",-0.1,-0.3,-0.5,-0.4,-0.2,-0.3,-0.1,0.2,0.5,0.2
"Montgomery, AL",0.2,0.1,-0.2,-0.2,-0.2,-0.0,0.1,0.1,-0.3,0.1
"Morgantown, WV",0.5,1.8,1.6,0.8,1.1,0.8,0.6,0.1,-0.3,-0.1
"Morristown, TN",0.1,0.4,0.1,0.1,0.3,0.7,0.5,0.7,0.6,0.7
"Mount Vernon-Anacortes, WA",0.0,0.5,0.1,0.5,1.4,1.3,1.7,1.8,1.5,1.1
"Muncie, IN",-0.0,0.2,-0.7,-0.2,-0.3,-0.6,-0.1,-0.4,-0.8,-0.1
"Muskegon, MI",-0.2,-1.1,0.1,1.2,-0.0,0.1,0.5,0.2,-0.0,-0.0
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",0.5,1.9,1.9,2.6,3.0,3.5,3.6,3.5,3.6,3.2
"Napa, CA",0.2,0.7,0.6,0.7,0.6,0.3,-0.0,-0.7,-0.8,-0.8
"Naples-Marco Island, FL",0.3,1.5,1.4,2.0,2.4,2.5,2.6,1.9,1.5,1.7
"Nashville-Davidson--Murfreesboro--Franklin, TN",0.3,1.4,1.7,1.8,1.9,2.0,2.0,1.8,1.6,1.5
"New Bern, NC",0.5,0.6,0.2,-1.0,-0.3,-1.1,-0.3,-0.2,-0.1,-0.2
"New Haven-Milford, CT",0.1,0.1,0.1,-0.2,0.0,-0.3,-0.3,-0.0,-0.1,-0.3
