,CBSA,year,Population,NAME
479,43580,2019,144701,"Sioux City, IA-NE-SD"
480,11180,2010,115925,"Ames, IA"
481,11180,2011,117424,"Ames, IA"
482,11180,2012,118139,"Ames, IA"
483,11180,2013,120161,"Ames, IA"
484,11180,2014,122092,"Ames, IA"
485,11180,2015,123079,"Ames, IA"
486,11180,2016,123309,"Ames, IA"
487,11180,2017,123721,"Ames, IA"
488,11180,2018,123093,"Ames, IA"
489,11180,2019,123351,"Ames, IA"
490,10500,2010,154145,"Albany, GA"
491,10500,2011,154545,"Albany, GA"
492,10500,2012,153976,"Albany, GA"
493,10500,2013,152667,"Albany, GA"
494,10500,2014,151949,"Albany, GA"
495,10500,2015,150387,"Albany, GA"
496,10500,2016,149137,"Albany, GA"
497,10500,2017,148090,"Albany, GA"
498,10500,2018,147840,"Albany, GA"
499,10500,2019,146726,"Albany, GA"
500,12620,2010,153861,"Bangor, ME"
501,12620,2011,153759,"Bangor, ME"
502,12620,2012,153347,"Bangor, ME"
503,12620,2013,153222,"Bangor, ME"
504,12620,2014,153201,"Bangor, ME"
505,12620,2015,151929,"Bangor, ME"
506,12620,2016,151333,"Bangor, ME"
507,12620,2017,151645,"Bangor, ME"
508,12620,2018,151817,"Bangor, ME"
509,12620,2019,152148,"Bangor, ME"
510,13780,2010,251489,"Binghamton, NY"
511,13780,2011,250238,"Binghamton, NY"
512,13780,2012,248945,"Binghamton, NY"
513,13780,2013,248017,"Binghamton, NY"
514,13780,2014,247075,"Binghamton, NY"
515,13780,2015,245283,"Binghamton, NY"
516,13780,2016,243322,"Binghamton, NY"
517,13780,2017,241709,"Binghamton, NY"
518,13780,2018,240366,"Binghamton, NY"
519,13780,2019,238691,"Binghamton, NY"
520,20020,2010,145871,"Dothan, AL"
521,20020,2011,146621,"Dothan, AL"
522,20020,2012,147448,"Dothan, AL"
523,20020,2013,147449,"Dothan, AL"
524,20020,2014,147830,"Dothan, AL"
525,20020,2015,147992,"Dothan, AL"
526,20020,2016,147784,"Dothan, AL"
527,20020,2017,147878,"Dothan, AL"
528,20020,2018,148249,"Dothan, AL"
529,20020,2019,149358,"Dothan, AL"
530,21780,2010,311802,"Evansville, IN-KY"
531,21780,2011,312698,"Evansville, IN-KY"
532,21780,2012,313422,"Evansville, IN-KY"
533,21780,2013,314331,"Evansville, IN-KY"
534,21780,2014,314859,"Evansville, IN-KY"
535,21780,2015,314983,"Evansville, IN-KY"
536,21780,2016,315283,"Evansville, IN-KY"
537,21780,2017,314791,"Evansville, IN-KY"
538,21780,2018,314660,"Evansville, IN-KY"
539,21780,2019,315086,"Evansville, IN-KY"
540,26300,2010,96067,"Hot Springs, AR"
541,26300,2011,96854,"Hot Springs, AR"
542,26300,2012,96986,"Hot Springs, AR"
543,26300,2013,97654,"Hot Springs, AR"
